,ricf_oid,ba_cn,ba_nfe,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine_this,fa_dinu_this,cf_govc,fp_tt,sc_gongo,sco_na,Province,ba_age,fa_dint,ba_gvof
3,379,传媒大学教育基金会,5,0,0,0.0,2007-06-21,17.0,1,16793400.0,0.0,0.0,7618.82,1,1,Beijing,8.0,1679.34,00
6,3001,辽宁省体育基金会,6,0,0,1.0,1989-10-14,5.0,4,0.0,0.0,0.0,2716.91,1,0,Liaoning,26.0,0.0,00
10,250,中国煤矿尘肺病防治基金会,14,0,1,1.0,2003-10-31,8.0,4,8755000.0,5829949.44,120.0,4653.85,1,1,Hebei,12.0,1458.49,01
11,1147,宁夏回族自治区燕宝慈善基金会,12,0,1,0.0,2010-12-22,5.0,5,0.0,161624702.0,0.0,1567.53,0,0,Ningxia,5.0,16162.47,01
15,59,上海市儿童健康基金会,0.0,0,0.0,1.0,1992年07月07日,22.0,5,10278131.8,663092.72,0.0,2585.46,0,0,Shanghai,23.0,1094.12,00.0
18,3012,辽宁省大连海洋大学教育发展基金会,2,0,0,0.0,2010-11-15,25.0,4,0.0,500000.0,0.0,336.9,1,0,Liaoning,5.0,50.0,00
19,3164,陕西九九老龄事业基金会,5,0,0,0.0,2011-04-20,5.0,3,0.0,0.0,0.0,3403.64,0,0,Shaanxi,4.0,0.0,00
24,244,中国残疾人福利基金会,56,0,1,1.0,1984-03-15,20.0,5,545582185.87,5234947.8,300.0,82328.4,1,1,Beijing,31.0,55081.71,01
27,1060,天津外国语大学教育发展基金会,1,0,0,0.0,2005-10-14,8.0,3,6441790.68,4518.0,0.0,841.3,1,0,Tianjin,10.0,644.63,00
29,1315,山西省代县雁门济困助学教育基金会,0,0,0,0.0,2012-05-21,9.0,3,0.0,0.0,0.0,1236.43,1,0,Shanxi,3.0,0.0,00
31,2684,瑞安市社会组织发展基金会,1,0,0,0.0,2013-01-08,6.0,4,60000.0,0.0,2.0,486.79,1,0,Zhejiang,2.0,6.0,00
34,3216,陕西省青少年发展基金会,10,0,0,1.0,2011-12-19,20.0,4,21052275.47,0.0,0.0,1163.47,1,0,Shaanxi,4.0,2105.23,00
40,1774,昆明市见义勇为基金会,2,3,0,1.0,2003-02-13,25.0,3,0.0,100000.0,155.5,1265.88,1,0,Yunnan,12.0,10.0,30
45,2057,河北省教育基金会,2,0,0,0.0,1996-10-04,9.0,4,868983.5,0.0,0.0,271.45,1,0,Hebei,19.0,86.9,00
48,1255,宝鸡市残疾人福利基金会,3,0,0,1.0,2010-03-03,25.0,4,72000.0,5842845.32,40.0,862.95,1,0,Shaanxi,5.0,591.48,00
49,252,中国牙病防治基金会,1,0,0,1.0,1994-04-01,25.0,3,2896377.52,128217.84,110.0,994.23,1,1,Beijing,21.0,302.46,00
50,179,中华全国体育基金会,4,2,1,1.0,1994-04-01,19.0,4,56623761.92,12795864.66,0.0,108687.51,1,1,Beijing,21.0,6941.96,21
51,1324,山西省合创爱心助困基金会,0,0,0,0.0,2007-06-14,6.0,4,0.0,200000.0,0.0,217.95,0,0,Shanxi,8.0,20.0,00
52,19,上海交通大学教育发展基金会,14.0,0,0.0,0.0,2005年01月27日,15.0,5,267234564.76,8000000.0,0.0,126972.43,1,0,Shanghai,10.0,27523.46,00.0
58,3092,重庆市武隆县扶贫基金会,3,0,0,1.0,2012-12-05,15.0,3,0.0,6512000.0,0.0,1044.17,1,0,Chongqing,3.0,651.2,00
65,1835,桐乡市人民教育基金会,1,0,0,1.0,2010-04-22,5.0,1,7721850.0,0.0,0.0,1638.13,1,0,Zhejiang,5.0,772.18,00
67,3129,长安大学教育基金会,3,0,0,0.0,2010-12-06,25.0,3,3133326.56,1341517.63,0.0,1017.32,1,0,Shaanxi,5.0,447.48,00
71,2071,河北省见义勇为基金会,8,0,0,1.0,1994-06-04,18.0,5,50000.0,1271.0,0.0,3078.53,1,0,Hebei,21.0,5.13,00
73,257,中国益民文化建设基金会,5,0,0,1.0,1993-08-31,12.0,1,0.0,0.0,0.0,938.74,1,1,Beijing,22.0,0.0,00
80,81,上海市帮困互助基金会,10.0,0,0.0,1.0,2003年12月25日,18.0,5,0.0,60973926.4,0.0,14763.66,1,0,Shanghai,12.0,6097.39,00.0
82,947,呼伦贝尔市扶贫基金会,3,0,0,1.0,2011-06-24,8.0,3,0.0,234000.0,0.0,416.55,1,0,Neimenggu,4.0,23.4,00
83,3408,重庆市急救医疗救助基金会,3,0,0,0.0,2006-03-01,10.0,2,0.0,0.0,0.0,216.14,1,0,Chongqing,9.0,0.0,00
85,2075,河北省青少年发展基金会,9,3,0,1.0,1993-06-07,13.0,5,18106095.83,0.0,0.0,5367.21,1,0,Hebei,22.0,1810.61,30
88,3617,云南杨丽萍民族文化艺术基金会,2,0,0,0.0,2013-10-15,5.0,3,0.0,1500000.0,0.0,442.95,0,0,Yunnan,2.0,150.0,00
91,1102,天津市青少年科学基金会,3,0,0,0.0,1994-06-24,8.0,1,0.0,133000.0,0.0,200.5,1,0,Tianjin,21.0,13.3,00
94,2939,西安电子科技大学教育基金会,4,0,0,0.0,2010-05-07,13.0,3,32347169.85,0.0,0.0,3844.67,1,0,Shaanxi,5.0,3234.72,00
99,218,中国华夏文化遗产基金会,9,0,0,1.0,2007-08-28,8.0,3,12090000.0,1658000.0,0.0,4764.57,1,1,Beijing,8.0,1374.8,00
103,3005,辽宁省公益基金会,3,0,0,1.0,2006-01-26,5.0,4,0.0,1421274.06,0.0,456.75,1,0,Liaoning,9.0,142.13,00
104,18,上海交响乐团文化发展基金会,2.0,0,0.0,0.0,1992年06月19日,7.0,5,0.0,20590000.0,0.0,10311.78,1,0,Shanghai,23.0,2059.0,00.0
105,2047,河北省佛教慈善基金会,8,0,0,0.0,2012-05-10,9.0,4,7184136.72,670274.9,0.0,1309.32,1,0,Hebei,3.0,785.44,00
115,350,云南省视界留学基金会,0,0,0,0.0,2010-02-10,7.0,3,0.0,500000.0,0.0,302.56,1,0,Yunnan,5.0,50.0,00
116,62,上海市华东师范大学教育发展基金会,8.0,0,0.0,0.0,2007年12月28日,20.0,4,44805959.84,62180.0,0.0,25684.95,1,0,Shanghai,8.0,4486.81,00.0
117,1066,天津市冬朋助学基金会,0,0,0,0.0,2007-11-07,7.0,3,0.0,170000.0,0.0,230.49,0,0,Tianjin,8.0,17.0,00
124,3160,陈嘉庚科学奖基金会,2,0,4,0.0,2003-02-20,24.0,2,0.0,3000000.0,0.0,4614.25,1,1,Beijing,12.0,300.0,04
125,332,云南省公安民警英烈基金会,3,3,0,1.0,2005-09-27,1.0,4,0.0,6536019.1,0.0,12429.09,1,0,Yunnan,10.0,653.6,30
127,2869,腾讯公益慈善基金会,13,0,0,0.0,2007-06-26,13.0,3,9907432.89,570618426.98,0.0,102394.49,0,1,Guangdong,8.0,58052.59,00
129,1834,桃源居公益事业发展基金会,5,0,0,0.0,2008-07-16,7.0,4,0.0,0.0,0.0,10380.93,0,1,Guangdong,7.0,0.0,00
132,2772,福建海西青年创业基金会,4,0,0,0.0,2007-06-01,7.0,4,0.0,492146.0,0.0,1108.82,1,0,Fujian,8.0,49.21,00
134,3089,重庆市卢作孚教育基金会,3,0,1,0.0,2010-06-12,9.0,3,2000000.0,0.0,0.0,468.57,0,0,Chongqing,5.0,200.0,01
135,2264,浙江省台州市农业技术推广基金会,1,0,0,1.0,2011-12-01,24.0,3,0.0,0.0,274.1,1334.18,1,0,Zhejiang,4.0,0.0,00
136,2998,辽宁爱之光防盲基金会,7,0,0,0.0,2006-10-08,8.0,4,0.0,3429937.4,0.0,1048.06,0,0,Liaoning,9.0,342.99,00
137,3028,辽宁省辽宁工程技术大学教育基金会,7,0,0,0.0,2009-07-29,17.0,4,191567.1,0.0,0.0,1058.86,1,0,Liaoning,6.0,19.16,00
141,1088,天津市海河文化发展基金会,3,0,0,1.0,2009-07-27,8.0,4,743511.56,1540860.19,0.0,446.99,0,0,Tianjin,6.0,228.44,00
144,2977,贵州省见义勇为基金会,5,1,0,1.0,2008-06-30,12.0,3,450200.0,0.0,430.0,1398.91,1,0,Guizhou,7.0,45.02,10
145,1054,大连慈善基金会,13,0,1,1.0,2006-03-02,25.0,5,26024870.18,9802.0,0.0,5946.02,1,0,Liaoning,9.0,2603.47,01
147,698,北京科技大学教育发展基金会,5,0,0,0.0,2012-05-09,7.0,3,32231708.88,17760862.46,0.0,9455.86,1,0,Beijing,3.0,4999.26,00
151,468,凯风公益基金会,7,0,0,0.0,2007-03-01,6.0,3,0.0,0.0,0.0,5317.89,0,1,Beijing,8.0,0.0,00
152,1638,广西红十字基金会,9,0,1,1.0,1995-03-06,19.0,5,9461938.73,410000.0,30.0,2991.28,1,0,Guangxi,20.0,987.19,01
153,1107,天津广播电视大学教育发展基金会,1,0,0,0.0,2007-02-06,13.0,4,0.0,0.0,0.0,208.6,1,0,Tianjin,8.0,0.0,00
155,2687,甘肃兴华青少年助学基金会,0,0,0,0.0,2012-02-16,7.0,3,0.0,5455101.8,0.0,1671.41,0,0,Gansu,3.0,545.51,00
159,1637,广西社会和谐稳定发展基金会,9,1,0,1.0,2010-12-28,18.0,5,0.0,3926380.76,90.0,1043.61,1,0,Guangxi,5.0,392.64,10
163,1077,天津市宏志教育基金会,0,0,0,0.0,2007-09-28,5.0,3,0.0,0.0,0.0,372.21,0,0,Tianjin,8.0,0.0,00
164,3450,重庆市星星灾害救助基金会,4,0,0,0.0,2008-11-27,9.0,1,0.0,160000.0,0.0,204.07,0,0,Chongqing,7.0,16.0,00
166,3,万科公益基金会,0,0,0,0.0,2008-09-04,7.0,3,9024026.1,80000420.0,0.0,20141.98,0,1,Guangdong,7.0,8902.44,00
167,3421,重庆市法律援助基金会,4,0,0,1.0,2007-06-27,23.0,4,1000000.0,1101888.6,10.0,502.12,1,0,Chongqing,8.0,210.19,00
169,138,上海科普教育发展基金会,5.0,0,0.0,1.0,2001年10月23日,23.0,5,0.0,4203000.0,0.0,9261.27,1,0,Shanghai,14.0,420.3,00.0
172,298,乌兰浩特市城乡困难群众大病医疗救助基金会,6,0,0,0.0,2011-04-13,9.0,3,0.0,0.0,0.0,1518.93,1,0,Neimenggu,4.0,0.0,00
178,690,北京理工大学教育基金会,7,2,0,0.0,2010-01-11,16.0,4,16387381.86,26634216.91,0.0,17481.23,1,1,Beijing,5.0,4302.16,20
181,223,中国古生物化石保护基金会,2,0,0,1.0,2008-10-30,16.0,3,0.0,3647332.0,37.0,1409.51,1,1,Beijing,7.0,364.73,00
183,1101,天津市青少年发展基金会,5,0,0,1.0,1997-08-20,7.0,5,7090590.01,278678.38,0.0,1500.89,1,0,Tianjin,18.0,736.93,00
186,3212,陕西省西安市老龄事业发展基金会,3,0,0,1.0,1995-04-04,17.0,3,0.0,50000.0,195.95,1780.72,1,0,Shaanxi,20.0,5.0,00
187,2313,浙江省革命老区发展基金会,0,0,0,1.0,2011-06-01,10.0,3,0.0,3100000.0,20.0,2233.24,1,0,Zhejiang,4.0,310.0,00
188,347,云南省老龄事业发展基金会,5,0,1,1.0,1988-06-25,24.0,4,0.0,3532000.0,0.0,1545.14,1,0,Yunnan,27.0,353.2,01
189,1189,安利公益基金会,8,0,0,0.0,2011-01-24,17.0,4,16258316.67,11393168.99,0.0,7462.2,0,1,Beijing,4.0,2765.15,00
191,1636,广西民族教育发展基金会,6,0,0,1.0,2009-04-22,13.0,5,0.0,50750000.0,0.0,17250.33,1,0,Guangxi,6.0,5075.0,00
193,2926,葫芦岛市见义勇为基金会,5,0,0,1.0,2011-11-24,25.0,4,0.0,0.0,0.0,835.83,1,0,Liaoning,4.0,0.0,00
194,130,上海特殊关爱基金会,3.0,0,0.0,0.0,2008年07月31日,15.0,4,7078575.0,5000000.0,0.0,1879.05,0,0,Shanghai,7.0,1207.86,00.0
196,2963,贵州省六盘水市见义勇为基金会,3,2,0,1.0,2012-03-05,16.0,4,328226.76,0.0,20.0,1457.25,1,0,Guizhou,3.0,32.82,20
198,2056,河北省撒可富教育基金会,0,0,0,0.0,2005-06-13,5.0,4,0.0,328500.0,0.0,1762.39,0,0,Hebei,10.0,32.85,00
199,2069,河北省老年事业发展基金会,11,0,0,1.0,2011-05-31,8.0,5,0.0,16256.76,0.0,442.93,1,0,Hebei,4.0,1.63,00
202,3219,陕西省黄土地陕北民歌发展基金会,3,0,0,0.0,2010-01-06,5.0,3,0.0,140000.0,0.0,210.07,1,0,Shaanxi,5.0,14.0,00
203,3333,黑龙江省青少年发展基金会,15,3,0,1.0,1988-08-17,18.0,5,14219495.01,0.0,0.0,2730.79,1,0,Heilongjiang,27.0,1421.95,30
205,2318,浙江福泰隆慈善基金会,3,0,0,0.0,2010-12-15,7.0,3,0.0,630.0,0.0,1937.06,0,0,Zhejiang,5.0,0.06,00
206,99,上海师范大学教育发展基金会,0.0,0,0.0,0.0,2008年10月09日,18.0,4,0.0,8326826.53,0.0,3411.58,1,0,Shanghai,7.0,832.68,00.0
217,946,周培源基金会,4,0,0,0.0,1993-03-15,9.0,2,0.0,232000.0,0.0,959.83,0,1,Beijing,22.0,23.2,00
218,2701,甘肃省扶贫基金会,10,0,0,1.0,1990-11-01,7.0,3,0.0,360673.58,20.4,987.64,1,0,Guangdong,25.0,36.07,00
219,563,北京大学教育基金会,31,0,1,0.0,1995-07-04,23.0,5,569607553.57,889097.13,0.0,444744.96,1,1,Beijing,20.0,57049.67,01
220,2292,浙江省残疾人福利基金会,7,0,0,1.0,1985-06-08,15.0,5,9038884.0,3198754.62,0.0,2391.47,1,0,Zhejiang,30.0,1223.76,00
224,876,厦门残疾人福利基金会,3,0,0,1.0,2006-01-16,23.0,2,32496522.72,330800.0,150.0,4507.39,1,0,Fujian,9.0,3282.73,00
225,3416,重庆市华岩文教基金会,7,0,0,1.0,2006-05-08,10.0,3,300511.0,2796812.5,0.0,758.98,0,0,Chongqing,9.0,309.73,00
226,964,哈尔滨市香坊区残疾人福利基金会,4,4,0,1.0,2009-06-26,19.0,4,0.0,2250.0,0.0,534.95,1,0,Heilongjiang,6.0,0.22,40
229,2742,石狮市蔡辉煌教育基金会,0,0,0,0.0,2008-05-06,11.0,3,0.0,0.0,0.0,277.59,0,0,Fujian,7.0,0.0,00
230,3042,达拉特旗人民教育基金会,1,0,0,1.0,2009-12-17,13.0,3,0.0,2827014.5,0.0,732.28,1,0,Neimenggu,6.0,282.7,00
231,2033,沈阳市残疾人福利基金会,0,0,0,1.0,2008-01-08,7.0,3,2464982.0,40424.32,0.0,804.38,1,0,Liaoning,7.0,250.54,00
232,272,中国艺术节基金会,6,0,0,1.0,1988-09-01,7.0,1,0.0,5851714.39,0.0,896.62,1,1,Beijing,27.0,585.17,00
235,1617,广西华侨爱心基金会,5,0,0,1.0,2009-08-18,7.0,5,0.0,3662440.0,0.0,506.25,1,0,Guangxi,6.0,366.24,00
237,1815,杭州市萧山区人民教育基金会,1,0,0,1.0,1990-05-08,18.0,2,0.0,11440900.0,0.0,2151.68,1,0,Zhejiang,25.0,1144.09,00
238,2366,海盐县农业技术推广基金会,3,1,0,1.0,2013-12-05,10.0,5,0.0,0.0,95.0,753.81,1,0,Zhejiang,2.0,0.0,10
241,341,云南省法律援助基金会,4,1,0,1.0,2009-10-27,25.0,2,3054725.0,5730.0,0.0,2019.43,1,0,Yunnan,6.0,306.05,10
243,247,中国法学交流基金会,5,0,1,1.0,1986-05-15,10.0,1,9682500.0,0.0,0.0,1102.43,1,1,Beijing,29.0,968.25,01
244,891,台州市黄岩区教育发展基金会,0,0,0,1.0,2009-03-03,8.0,3,0.0,53650000.0,0.0,413.81,1,0,Zhejiang,6.0,5365.0,00
245,3205,陕西省神木县民生慈善基金会,16,0,0,0.0,2011-06-15,25.0,4,2386100.0,0.0,0.0,281916.07,1,0,Shaanxi,4.0,238.61,00
248,1176,宁波市海曙区人民教育基金会,0,0,0,1.0,2005-11-28,9.0,3,0.0,500000.0,0.0,3449.16,1,0,Zhejiang,10.0,50.0,00
249,1089,天津市滨海社会救助基金会,2,0,0,0.0,2008-06-26,5.0,3,0.0,0.0,0.0,194.2,0,0,Tianjin,7.0,0.0,00
250,1068,天津市华夏器官移植救助基金会,1,0,0,0.0,2007-11-22,5.0,3,540000.0,1125000.0,0.0,12501.82,0,0,Tianjin,8.0,166.5,00
252,3222,陕西美术事业发展基金会,0,0,0,1.0,2010-09-28,5.0,4,0.0,0.0,0.0,671.33,1,0,Shaanxi,5.0,0.0,00
253,2984,贵州省青年创业就业基金会,5,1,0,1.0,2009-08-05,15.0,5,1050000.0,625000.0,0.0,496.53,1,0,Guizhou,6.0,167.5,10
255,263,中国移动慈善基金会,7,0,0,0.0,2009-07-13,12.0,3,0.0,38000000.0,0.0,10198.12,0,1,Beijing,6.0,3800.0,00
259,191,中华见义勇为基金会,12,5,5,1.0,1993-06-01,23.0,3,10800000.0,4161850.0,1000.0,14196.76,1,1,Beijing,22.0,1496.18,55
266,2983,贵州省青少年发展基金会,16,1,0,1.0,1991-05-01,4.0,5,171523886.22,543000.0,260.0,3642.38,1,0,Guizhou,24.0,17206.69,10
277,3280,韬奋基金会,12,0,1,0.0,1986-09-12,21.0,3,32986965.96,0.0,0.0,9429.83,1,1,Beijing,29.0,3298.7,01
281,2221,浙江孤山慈善基金会,2,0,0,0.0,2010-04-23,5.0,3,0.0,0.0,0.0,1065.04,0,0,Zhejiang,5.0,0.0,00
282,269,中国职工发展基金会,0,1,2,1.0,1994-04-05,13.0,1,0.0,0.0,0.0,4717.24,1,1,Beijing,21.0,0.0,12
285,3227,陕西鱼化龙创业基金会,3,0,0,0.0,2010-02-05,5.0,3,0.0,43200.0,0.0,548.98,0,0,Shaanxi,5.0,4.32,00
286,2822,福建省青少年发展基金会,10,0,0,1.0,1993-07-15,22.0,5,16052531.01,5887.2,2.0,3650.01,1,0,Fujian,22.0,1605.84,00
287,2176,泛海公益基金会,5,0,0,0.0,2010-10-25,7.0,4,0.0,442992350.0,0.0,20172.15,0,1,Beijing,5.0,44299.24,00
289,954,哈尔滨市公安民警救助基金会,1,4,0,1.0,2010-05-26,8.0,3,0.0,500000.0,0.0,3653.67,1,0,Heilongjiang,5.0,50.0,40
293,330,云南滇池保护治理基金会,4,1,0,1.0,2010-04-06,15.0,3,1505.0,0.0,0.0,1654.17,1,0,Yunnan,5.0,0.15,10
295,1349,山西省汾酒集团公益基金会,0,0,0,0.0,2010-12-09,18.0,4,0.0,0.0,0.0,1340.25,0,0,Shanxi,5.0,0.0,00
296,245,中国民航科普基金会,6,0,1,1.0,2006-03-06,23.0,3,5147004.92,0.0,0.0,5679.84,1,1,Beijing,9.0,514.7,01
300,3015,辽宁省抚顺市爱心教育基金会,3,0,0,0.0,2005-12-15,23.0,3,0.0,1174337.62,0.0,347.38,1,0,Liaoning,10.0,117.43,00
302,3460,中国保护黄河基金会,8,0,0,1.0,2009-10-09,11.0,2,0.0,2002600.0,0.0,3654.19,1,1,Henan,6.0,200.26,00
304,712,北京航空航天大学教育基金会,11,0,0,0.0,2005-05-17,14.0,4,99222660.54,0.0,0.0,59396.7,1,1,Beijing,10.0,9922.27,00
307,2844,纺织之光科技教育基金会,5,0,0,0.0,2008-05-08,25.0,3,866000.0,2238000.0,0.0,11263.09,1,1,Beijing,7.0,310.4,00
308,213,中国出生缺陷干预救助基金会,6,0,2,1.0,2011-08-30,6.0,3,5544955.44,2066070.74,10010.0,17194.32,1,1,Beijing,4.0,761.1,02
309,2034,沈阳市职工爱心慈善基金会,1,0,1,1.0,2006-09-19,25.0,5,7181402.9,0.0,26.95,3492.84,1,0,Liaoning,9.0,718.14,01
318,2220,浙江大学教育基金会,52,0,1,0.0,2006-07-27,14.0,5,352880041.3,0.0,0.0,203784.94,1,1,Zhejiang,9.0,35288.0,01
320,76,上海市拥军优属基金会,13.0,0,0.0,1.0,1995年04月07日,21.0,3,913150.0,11887300.0,1464.8,77691.7,1,0,Shanghai,20.0,1280.04,00.0
